234.52205098962074,306.32957627154826;154.06396191496447,312.9085678506872,204.0046772354214,310.5179651795388,147.6527480952763,312.66029662241664,198.19401746169515,311.4755957937205;440.1605406401862,599.2292532533785,158.03500195108649,311.9003558626847,149.95036816136212,312.0534300622618,901.3581297624412,348.20532852820264;0,0;204.0046772354214,310.5179651795388;Red;defendBall
600,350;476.3573883027186,180.99083620989472,136.73381169683697,398.3891052850907,154.70334082166875,183.51162474370062,382.1189646940526,133.55239255790775;611.0486896061316,328.72714986282125,761.9011868612411,121.10521857548736,632.7753054221412,461.5338751678837,709.9591623824546,513.7585941172468;0,0;611.0486896061316,328.72714986282125;Blue;Foncer
960.6322345828701,328.8160668906294;580.9570979096661,376.1502830340823,1054.176287784439,400.6427232561593,914.4981253120073,330.0796267512092,298.2839827525091,350.5895519377894;1015.5438285324343,328.54592150218417,1011.3967089944761,331.1856467641829,1015.7095398125068,324.84678379002753,1013.685851233826,324.9925574848357;0,1;1054.176287784439,400.6427232561593;Red;defendBall
361.8067438820765,347.88488035670287;456.51307306926714,332.81163912903054,232.34796516917973,376.10339595555394,435.5312604401413,363.9571373057266,115.77413985014249,346.41302931533846;761.4528227095195,433.7471726220693,394.3774666836438,352.9681617329191,436.41178275574924,342.3367436299768,878.8900178527946,377.89533355166435;0,0;115.77413985014249,346.41302931533846;Red;defendGoal
281.2320582357873,325.58342511844256;149.09990031260634,330.4244440894597,266.64926504517126,317.65887337075634,264.1090176717187,324.343686386907,185.9756040307686,320.75190357102605;362.7740919890971,519.0477327777043,497.1031682291841,470.63687542045307,219.79710919962466,323.46102017572343,899.803219781051,350.41798832714073;0,0;266.64926504517126,317.65887337075634;Red;Foncer
442.96294680521606,352.3037594785755;421.0991482700662,367.00056327907447,435.6087134112241,293.2297748594129,168.43767497124182,447.2253685098068,390.64906204702305,333.86617518919854;1064.212214999993,260.54175217914326,446.96828354175676,352.95874914714904,447.3127994266614,352.6351781318769,596.8457140736301,418.7376513364116;0,0;421.0991482700662,367.00056327907447;Red;clearBall
234.52205098962074,306.32957627154826;154.06396191496447,312.9085678506872,204.0046772354214,310.5179651795388,147.6527480952763,312.66029662241664,198.19401746169515,311.4755957937205;440.1605406401862,599.2292532533785,158.03500195108649,311.9003558626847,149.95036816136212,312.0534300622618,901.3581297624412,348.20532852820264;0,0;204.0046772354214,310.5179651795388;Red;defendBall
203.21887820818878,557.9601035849184;796.2859711970411,253.36885171070043,1173.6637685900505,254.64728732392865,89.32638800142398,430.1970991141917,218.31364715790932,557.8580572025153;236.93023876317773,537.2201320142593,220.02568027106904,559.4276848204366,899.7278281333635,351.60986763576005,227.29045651303264,565.6743743634329;0,0;1173.6637685900505,254.64728732392865;Red;defendCenter
466.5440237168133,386.61616386671204;447.3625941470121,413.17225573789045,450.64266418428815,412.3430398244824,449.063747052049,412.4128148872828,306.78088402953284,481.32122396049886;447.7835766236449,412.9790268664645,446.9738880870877,412.9788897463101,447.20865820166443,410.09847582479136,447.08572789322966,410.7975070268347;0,0;306.78088402953284,481.32122396049886;Red;defendGoal
248.23393396726604,271.9624372083318;202.19495623504045,278.6023678345643,225.75874208940434,276.59206379519634,217.06832762229087,284.1404579662619,210.2822839244748,277.1519344768307;203.53876573144433,277.51768187185104,198.8731168140766,277.9915903828332,899.7598448599647,350.0794630978058,202.14328730610856,278.2305372784916;0,3;225.75874208940434,276.59206379519634;Red;defendBall
111.0281424210562,80.07327302448505;169.03590897367374,48.243903329984846,167.4349089151856,48.83769339859555,299.341349656151,350.16658551510517,136.13298547470782,92.55962365912694;166.7862291993579,46.98068381814494,165.8784309498483,49.593939841444126,899.5598714551528,349.1741117308885,158.1040050687142,73.61902347708246;0,0;299.341349656151,350.16658551510517;Red;defendGoal
6.54107002813758,647.8217608362397;11.389562817387805,643.0379660600947,186.21412199931632,493.9093494900568,13.889035061137802,643.9546876122978,13.896106998163082,643.9662493553884;13.615769446885924,643.3426730930155,11.486481826332282,643.1868877988055,19.8632062818487,659.3101140253282,19.861938761078168,659.3050003286164;0,0;186.21412199931632,493.9093494900568;Red;defendGoal
600,350;225.3308774180445,31.411743650323388,103.39890754079471,296.38152023839854,364.5663625188741,340.2172178001706,571.4568014405854,217.12648946479385;1059.9086854138814,481.4024815468232,799.8862986440706,398.48727046316566,910.9012383375019,110.17275657495748,760.1774136128539,567.1712511970568;0,0;103.39890754079471,296.38152023839854;Red;defendGoal
904.2529731305267,568.3155452464549;872.0693517491108,563.3509605919548,869.2963879119266,563.0728198279988,300.39153487413944,349.9195629840143,294.94015978783244,350.918367253249;834.6610610524278,514.7361327756045,870.6991356440786,441.6337016881517,871.0610368630088,441.93336229584935,869.264611786656,437.2628854503844;0,0;872.0693517491108,563.3509605919548;Red;shootBall
9.476455807658821,155.19935739558628;3.98637178880903,177.85960376841274,5.058873193361389,146.17379014363382,1.4325991509554554,174.15356766518698,180.52075865356858,275.9422738854514;0,700,13.580841440928625,140.95416708132973,7.230362911935018,128.77653115463704,7.230363759984184,128.77653622234618;0,0;180.52075865356858,275.9422738854514;Red;defendGoal
22.90221071691632,529.2607490043806;45.18105627710338,568.0821997396117,292.81104947801896,359.1650924744273,118.31828288951311,377.98823585060904,45.181056274646245,568.0821997386015;45.18105627650888,568.0821997393673,41.6538511441938,561.960664767006,45.18105628841916,568.0821997442638,45.18105730478644,568.0822001619189;0,0;292.81104947801896,359.1650924744273;Red;defendGoal
101.36161209085978,447.50181547876485;76.52810869601646,424.9142164725534,81.23104930333075,431.1164770364034,81.89180532702763,428.0291520906029,79.44540294758463,430.1251446255315;1066.1336737025151,267.56689560802573,76.62641012127081,427.18083856281334,76.4694339898321,426.9594128652594,121.28491455773381,700;0,0;79.44540294758463,430.1251446255315;Red;clearBall
335.44375152072905,353.10935770331196;252.1775519911325,363.5042434610071,153.00313164305885,362.63122679698824,299.58674618452926,359.44830540621075,163.32837367821676,358.9016760703764;541.5776825210453,533.1681578775617,489.7085904389716,435.885228340597,901.7747595283121,349.2531952479872,238.25825384417973,356.06337074205345;0,1;299.58674618452926,359.44830540621075;Red;defendBall
226.5852984553986,308.69360200255335;152.57737105088373,314.2762073211243,198.3729353350469,310.68682457114295,144.56876588224287,313.3835936044228,193.26633257208002,311.8596424606802;445.72432451913994,600.152793962214,154.85039050320623,312.7204872888823,146.77939260288414,312.578757276351,901.8512440192086,347.55371326033134;0,0;193.26633257208002,311.8596424606802;Red;defendBall
533.8309217349145,315.2764720507004;469.3292594581127,326.26752235283215,508.70292818575405,334.4711398565008,466.98819305587364,325.4574426094888,492.4653692457799,335.66166082866937;469.3358240761432,326.27666285341064,468.3826372197087,325.969067645324,486.6334460887766,342.21445178517155,486.63813916586906,342.21906314229904;0,0;508.70292818575405,334.4711398565008;Red;defendBall
695.763916411366,328.61518784582216;359.4581745821156,430.0189321262801,663.4781309229402,347.7787807483241,264.204150925485,426.21692508576996,139.32019012467404,338.7624940086279;609.4104134242602,335.7374405659785,616.8539008934416,357.41922195588626,660.7929766241941,355.768778660347,898.1577883597776,335.3203098612911;0,0;264.204150925485,426.21692508576996;Red;runAdvGoal
670.7657539955692,339.64811609064725;323.03532267443643,406.2383889627276,717.7601029529022,366.6975029413701,160.41289885736055,316.0244409577263,690.4241008430387,336.1976735391106;1065.865603714436,265.0729810987056,740.5882018918068,369.60961559945264,681.5432394216272,335.8843775020953,888.0540154928558,263.74979598436823;0,1;1065.865603714436,265.0729810987056;Blue;defendGoal
